id	name	age	gender	phone
826	Yunusov	38	M	+998 123423570
827	Alimov	35	M	+998 123423700
828	Yunusov	52	M	+998 123423877
829	Kurbanova	48	W	+998 123424073
830	Kurbesov	21	M	+998 123424161
831	Zakirov	44	M	+998 123424349
832	Karimov	36	M	+998 123424415
833	Saidov	46	M	+998 123424548
834	Sultanova	37	W	+998 123424690
835	Sharipova	22	W	+998 123424718
836	Gafurov	30	M	+998 123424868
837	Gafurov	38	M	+998 123424973
838	Ibragimov	34	M	+998 123425139
839	Ibragimov	26	M	+998 123425151
840	Saidov	22	M	+998 123425243
841	Usmanov	53	M	+998 123425271
842	Azimov	25	M	+998 123425307
843	Sultanov	39	M	+998 123425383
844	Gafurov	30	M	+998 123425522
845	Rasulov	29	M	+998 123425707
846	Sharipov	42	M	+998 123425802
847	Akbarov	57	M	+998 123425880
848	Saidov	28	M	+998 123426018
849	Sultanov	23	M	+998 123426102
850	Karimov	30	M	+998 123426258
851	Ibragimov	60	M	+998 123426410
852	Kurbanov	34	M	+998 123426509
853	Pulatov	20	M	+998 123426541
854	Kurbesov	35	M	+998 123426739
855	Umarov	20	M	+998 123426803
856	Azimov	25	M	+998 123426938
857	Yunusova	44	W	+998 123427057
858	Pulatov	41	M	+998 123427184
859	Zakirov	28	M	+998 123427289
860	Azimov	56	M	+998 123427416
861	Rasulov	39	M	+998 123427508
862	Akbarov	48	M	+998 123427622
863	Yunusov	59	M	+998 123427707
864	Pulatov	38	M	+998 123427898
865	Umarov	20	M	+998 123428027
866	Karimov	35	M	+998 123428137
867	Umarova	41	W	+998 123428258
868	Sharipov	38	M	+998 123428272
869	Kurbesov	26	M	+998 123428383
870	Gafurov	27	M	+998 123428537
871	Sultanov	51	M	+998 123428732
872	Akbarov	35	M	+998 123428925
873	Rasulov	59	M	+998 123429049
874	Kurbesov	20	M	+998 123429234
875	Rasulov	50	M	+998 123429396
876	Yunusov	42	M	+998 123429470
877	Sultanov	44	M	+998 123429644
878	Ibragimov	55	M	+998 123429791
879	Rasulov	34	M	+998 123429894
880	Pulatov	58	M	+998 123429970
881	Kurbanov	32	M	+998 123430000
882	Sultanova	30	W	+998 123430126
883	Karimova	50	W	+998 123430257
884	Kurbanov	38	M	+998 123430409
885	Yunusov	55	M	+998 123430563
886	Alimov	30	M	+998 123430750
887	Saidov	44	M	+998 123430949
888	Azimov	31	M	+998 123430968
889	Sharipov	60	M	+998 123431113
890	Ibragimov	53	M	+998 123431200
891	Umarov	48	M	+998 123431251
892	Kurbesov	26	M	+998 123431283
893	Azimov	54	M	+998 123431481
894	Zakirov	47	M	+998 123431618
895	Yunusov	19	M	+998 123431697
896	Azimov	23	M	+998 123431846
897	Saidov	46	M	+998 123431917
898	Yunusov	56	M	+998 123431997
899	Umarov	43	M	+998 123432069
900	Azimov	50	M	+998 123432145
901	Usmanov	41	M	+998 123432312
902	Umarov	58	M	+998 123432344
903	Sultanov	21	M	+998 123432391
904	Saidov	38	M	+998 123432581
905	Kurbanov	23	M	+998 123432700
906	Azimova	42	W	+998 123432881
907	Rasulov	19	M	+998 123433076
908	Sultanov	19	M	+998 123433234
909	Pulatov	51	M	+998 123433432
910	Kurbesov	60	M	+998 123433520
911	Azimov	60	M	+998 123433685
912	Azimov	39	M	+998 123433757
913	Yusupov	59	M	+998 123433788
914	Kurbanov	54	M	+998 123433956
915	Zakirov	24	M	+998 123434147
916	Yusupov	56	M	+998 123434332
917	Pulatov	60	M	+998 123434476
918	Azimov	36	M	+998 123434523
919	Kurbesov	57	M	+998 123434566
920	Gafurov	49	M	+998 123434617
921	Umarov	25	M	+998 123434667
922	Saidov	30	M	+998 123434825
923	Karimov	41	M	+998 123434882
924	Yunusov	31	M	+998 123434975
925	Azimov	47	M	+998 123435085
926	Umarov	34	M	+998 123435234
927	Yunusov	41	M	+998 123435308
928	Usmanov	38	M	+998 123435395
929	Saidov	34	M	+998 123435462
930	Azimov	34	M	+998 123435643
931	Sharipov	28	M	+998 123435801
932	Zakirov	58	M	+998 123435903
933	Azimov	44	M	+998 123435968
934	Saidov	48	M	+998 123436027
935	Kurbanov	48	M	+998 123436044
936	Sultanov	45	M	+998 123436200
937	Saidov	38	M	+998 123436382
938	Sultanov	41	M	+998 123436509
939	Sharipov	36	M	+998 123436663
940	Pulatov	32	M	+998 123436688
941	Azimov	60	M	+998 123436838
942	Alimova	28	W	+998 123437006
943	Azimov	44	M	+998 123437184
944	Sharipov	35	M	+998 123437287
945	Azimov	41	M	+998 123437342
946	Sharipov	24	M	+998 123437490
947	Rasulov	59	M	+998 123437653
948	Azimov	45	M	+998 123437815
949	Yunusov	19	M	+998 123437841
950	Ibragimova	22	W	+998 123437924
951	Kurbesov	19	M	+998 123437952
